UID;Molecular Formula
967;C$_{34}$H$_{20}$
968;C$_{34}$H$_{20}$
969;C$_{34}$H$_{20}$
970;C$_{34}$H$_{20}$
971;C$_{34}$H$_{20}$
972;C$_{34}$H$_{20}$
973;C$_{34}$H$_{20}$
974;C$_{34}$H$_{20}$
975;C$_{34}$H$_{20}$
976;C$_{34}$H$_{20}$
977;C$_{34}$H$_{20}$
978;C$_{34}$H$_{20}$
979;C$_{34}$H$_{20}$
980;C$_{34}$H$_{20}$
981;C$_{34}$H$_{20}$
982;C$_{34}$H$_{20}$
983;C$_{34}$H$_{20}$
984;C$_{34}$H$_{20}$
985;C$_{34}$H$_{20}$
986;C$_{34}$H$_{20}$
987;C$_{34}$H$_{20}$
988;C$_{34}$H$_{20}$
989;C$_{34}$H$_{20}$
990;C$_{34}$H$_{20}$
991;C$_{34}$H$_{20}$
992;C$_{34}$H$_{20}$
993;C$_{34}$H$_{20}$
994;C$_{34}$H$_{20}$
995;C$_{34}$H$_{20}$
996;C$_{34}$H$_{20}$
997;C$_{34}$H$_{20}$
998;C$_{34}$H$_{20}$
999;C$_{34}$H$_{20}$
1000;C$_{34}$H$_{20}$
1001;C$_{34}$H$_{20}$
1002;C$_{34}$H$_{20}$
1003;C$_{34}$H$_{20}$
1004;C$_{34}$H$_{20}$
1005;C$_{34}$H$_{20}$
1006;C$_{34}$H$_{20}$
1007;C$_{34}$H$_{20}$
1008;C$_{34}$H$_{20}$
1009;C$_{34}$H$_{20}$
1010;C$_{34}$H$_{20}$
1011;C$_{34}$H$_{20}$
1012;C$_{34}$H$_{20}$
1013;C$_{34}$H$_{20}$
1014;C$_{34}$H$_{20}$
1015;C$_{34}$H$_{20}$
1016;C$_{34}$H$_{20}$
1017;C$_{34}$H$_{20}$
1018;C$_{34}$H$_{20}$
1019;C$_{34}$H$_{20}$
1020;C$_{34}$H$_{20}$
1021;C$_{34}$H$_{20}$
1022;C$_{34}$H$_{20}$
1023;C$_{34}$H$_{20}$
